"filename", "language", "TypeScript", "Markdown", "TypeScript React", "SCSS", "comment", "blank", "total"
"e:\Projects\WebProjects\river-minigames\src\space-miner\Game.ts", "TypeScript", 78, 0, 0, 0, 3, 16, 97
"e:\Projects\WebProjects\river-minigames\src\space-miner\GameActions.ts", "TypeScript", 98, 0, 0, 0, 8, 13, 119
"e:\Projects\WebProjects\river-minigames\src\space-miner\SpaceMiner.md", "Markdown", 0, 81, 0, 0, 0, 41, 122
"e:\Projects\WebProjects\river-minigames\src\space-miner\Test.ts", "TypeScript", 148, 0, 0, 0, 6, 21, 175
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\Inventory.ts", "TypeScript", 141, 0, 0, 0, 6, 28, 175
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\Mine.ts", "TypeScript", 2, 0, 0, 0, 0, 1, 3
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\MineSource.ts", "TypeScript", 7, 0, 0, 0, 5, 5, 17
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\Profile.ts", "TypeScript", 13, 0, 0, 0, 0, 1, 14
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\ResourceType.ts", "TypeScript", 13, 0, 0, 0, 0, 2, 15
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\ResourceTypes.ts", "TypeScript", 63, 0, 0, 0, 7, 11, 81
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\Shop.ts", "TypeScript", 94, 0, 0, 0, 0, 14, 108
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\SpaceExploringCenter.ts", "TypeScript", 42, 0, 0, 0, 0, 8, 50
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\World.ts", "TypeScript", 20, 0, 0, 0, 0, 7, 27
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\assemble\MinerRecipe.ts", "TypeScript", 118, 0, 0, 0, 7, 20, 145
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\assemble\Recipe.ts", "TypeScript", 24, 0, 0, 0, 0, 13, 37
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\assemble\SimpleRecipe.ts", "TypeScript", 68, 0, 0, 0, 7, 15, 90
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\facility\Collector.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\facility\DrillWellFacility.scss", "SCSS", 0, 0, 0, 23, 0, 5, 28
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\facility\DrillWellFacility.tsx", "TypeScript React", 0, 0, 98, 0, 0, 16, 114
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\facility\Facility.ts", "TypeScript", 20, 0, 0, 0, 0, 7, 27
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\facility\SupplimentNetwork.ts", "TypeScript", 17, 0, 0, 0, 0, 4, 21
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\facility\TranditionalMineFacility.scss", "SCSS", 0, 0, 0, 12, 0, 2, 14
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\facility\TranditionalMineFacility.tsx", "TypeScript React", 0, 0, 80, 0, 3, 19, 102
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\generation\OrbGenerator.ts", "TypeScript", 56, 0, 0, 0, 0, 2, 58
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\generation\RandomOrbGenerator.ts", "TypeScript", 16, 0, 0, 0, 1, 4, 21
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\generation\ResourceGenerationData.ts", "TypeScript", 7, 0, 0, 0, 0, 1, 8
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\generation\StellarOrbGenerator.ts", "TypeScript", 24, 0, 0, 0, 5, 7, 36
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\generation\TerraLikeOrbGenerator.ts", "TypeScript", 95, 0, 0, 0, 2, 13, 110
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\item\BonusPackItem.ts", "TypeScript", 34, 0, 0, 0, 0, 9, 43
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\item\FacilityItem.ts", "TypeScript", 39, 0, 0, 0, 0, 11, 50
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\item\Item.ts", "TypeScript", 43, 0, 0, 0, 6, 16, 65
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\item\ItemType.ts", "TypeScript", 15, 0, 0, 0, 0, 3, 18
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\item\MinerItem.ts", "TypeScript", 46, 0, 0, 0, 0, 11, 57
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\item\MinerPartItem.ts", "TypeScript", 30, 0, 0, 0, 0, 11, 41
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\item\OrbMiningLisenceItem.ts", "TypeScript", 54, 0, 0, 0, 0, 14, 68
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\item\ResourceItem.ts", "TypeScript", 36, 0, 0, 0, 0, 12, 48
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\item\SimpleItem.ts", "TypeScript", 25, 0, 0, 0, 0, 9, 34
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\item\Tags.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 9
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\item\TestItem.ts", "TypeScript", 21, 0, 0, 0, 0, 7, 28
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\miner\CargoPart.ts", "TypeScript", 42, 0, 0, 0, 4, 10, 56
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\miner\CollectorPart.ts", "TypeScript", 49, 0, 0, 0, 5, 11, 65
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\miner\FramePart.ts", "TypeScript", 59, 0, 0, 0, 4, 12, 75
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\miner\MainControlPart.ts", "TypeScript", 66, 0, 0, 0, 0, 12, 78
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\miner\Miner.ts", "TypeScript", 96, 0, 0, 0, 1, 15, 112
